portfolio,date,action,ticker,price,currency,shares,commission
Growth Stocks,2024-01-15,Buy,AAPL,150.50,Market,100,9.95
Growth Stocks,2024-01-20,Buy,MSFT,280.75,Market,50,9.95
Growth Stocks,2024-02-01,Buy,GOOGL,2500.00,Market,25,12.50
Growth Stocks,2024-02-10,Buy,TSLA,200.25,Market,75,9.95
Growth Stocks,2024-02-15,Buy,NVDA,450.80,Market,30,9.95
Growth Stocks,2024-03-01,Sell,AAPL,165.00,Market,25,9.95
Growth Stocks,2024-03-05,Buy,MSFT,290.50,Market,25,9.95
Growth Stocks,2024-03-10,Sell,GOOGL,2650.00,Market,10,12.50
Growth Stocks,2024-03-15,Sell,TSLA,180.75,Market,25,9.95
Growth Stocks,2024-03-20,Buy,NVDA,480.25,Market,20,9.95
Growth Stocks,2024-04-01,Buy,AAPL,170.25,Market,50,9.95
Growth Stocks,2024-04-05,Sell,MSFT,295.00,Market,30,9.95
ETF Portfolio,2024-04-10,Buy,SPY,420.50,Market,100,4.95
ETF Portfolio,2024-04-15,Buy,QQQ,350.75,Market,50,4.95
ETF Portfolio,2024-04-20,Buy,VTI,225.25,Market,75,4.95
Growth Stocks,2024-04-25,Deposit,CASH,,USD,5000.00,0.00
Growth Stocks,2024-05-01,Withdraw,CASH,,USD,1000.00,0.00
